"Date","Total members","Pending members","Approved member requests","Declined member requests"
"2020-05-06","15266","3","10","0"
"2020-05-07","15265","3","3","0"
"2020-05-08","15266","3","2","0"
"2020-05-09","15272","3","7","0"
"2020-05-10","15270","3","1","0"
"2020-05-11","15270","3","3","1"
"2020-05-12","15273","3","2","0"
"2020-05-13","15279","4","5","0"
"2020-05-14","15277","3","5","2"
"2020-05-15","15284","3","8","0"
"2020-05-16","15285","3","4","0"
"2020-05-17","15287","3","2","0"
"2020-05-18","15290","3","3","0"
"2020-05-19","15292","3","4","0"
"2020-05-20","15288","3","0","0"
"2020-05-21","15287","3","2","0"
"2020-05-22","15286","3","2","0"
"2020-05-23","15288","3","3","0"
"2020-05-24","15289","3","7","0"
"2020-05-25","15288","3","0","0"
"2020-05-26","15292","3","4","0"
"2020-05-27","15290","4","1","0"
"2020-05-28","15287","3","3","0"
"2020-05-29","15284","3","3","1"
"2020-05-30","15280","3","1","2"
"2020-05-31","15285","4","3","0"
"2020-06-01","15284","3","2","2"
"2020-06-02","15280","3","3","0"
"2020-06-03","15279","3","1","0"
"2020-06-04","15275","3","0","0"
"2020-06-05","15273","4","2","0"
"2020-06-06","15274","3","5","0"
"2020-06-07","15275","4","3","0"
"2020-06-08","15276","3","3","3"
"2020-06-09","15278","3","4","0"
"2020-06-10","15277","3","1","1"
"2020-06-11","15277","3","4","0"
"2020-06-12","15277","3","0","0"
"2020-06-13","15280","3","3","0"
"2020-06-14","15284","3","4","0"
"2020-06-15","15283","5","3","0"
"2020-06-16","15284","3","3","0"
"2020-06-17","15287","5","3","0"
"2020-06-18","15292","4","3","0"
"2020-06-19","15294","4","4","0"
"2020-06-20","15297","3","2","0"
"2020-06-21","15303","3","5","0"
"2020-06-22","15301","3","3","0"
"2020-06-23","15303","3","4","0"
"2020-06-24","15306","3","3","0"
"2020-06-25","15309","3","2","0"
"2020-06-26","15310","3","2","0"
"2020-06-27","15314","4","3","0"
"2020-06-28","15312","3","1","0"
"2020-06-29","15310","3","2","0"
"2020-06-30","15308","3","0","1"
"2020-07-01","15308","3","1","0"
"2020-07-02","15306","3","2","0"
"2020-07-03","15306","3","1","0"
"2020-07-04","15308","3","3","0"
